timestamp,midpoint,spread
1673049603067,16943.600,0.600
1673049607256,16943.850,0.100
1673049608267,16944.200,0.600
1673049609270,16945.300,0.200
1673049610273,16945.650,0.100
1673049611271,16945.650,0.100
1673049612280,16945.400,0.400
1673049613284,16945.150,0.100
1673049614288,16945.150,0.100
