timestamp,midpoint,spread
1673121771088,16937.25,0.1
1673121772094,16937.25,0.1
1673121773097,16937.25,0.1
1673121774101,16937.25,0.1
1673121775103,16937.25,0.1
1673121776107,16937.75,1.1
1673121777108,16937.25,0.1
1673121778116,16937.25,0.1
1673121779119,16937.25,0.1
1673121780127,16937.25,0.1
1673121781132,16937.25,0.1
1673121782138,16937.25,0.1
1673121783145,16937.25,0.1
1673121784146,16937.25,0.1
1673121785153,16937.3,0.0
1673121786155,16937.35,0.1
1673121787158,16937.4,0.0
1673121788172,16937.45,0.1
1673121789176,16937.45,0.1
1673121790183,16937.45,0.1
1673121791188,16937.45,0.1
1673121792198,16937.45,0.1
1673121793205,16937.45,0.1
1673121794208,16937.45,0.1
1673121795215,16937.45,0.1
1673121796226,16937.45,0.1
1673121797234,16937.45,0.1
1673121798240,16937.45,0.1
1673121799246,16937.45,0.1
1673121800251,16937.45,0.1
1673121801258,16937.45,0.1
1673121802265,16937.45,0.1
1673121803266,16937.45,0.1
1673121804267,16937.7,0.6
1673121805274,16937.45,0.1
1673121806282,16937.45,0.1
1673121807288,16937.45,0.1
1673121808290,16937.45,0.1
1673121809292,16937.45,0.1
1673121810296,16937.45,0.1
1673121811299,16937.45,0.1
1673121812305,16937.45,0.1
1673121813313,16937.45,0.1
1673121814318,16937.45,0.1
1673121815321,16937.45,0.1
1673121816328,16937.45,0.1
1673121817332,16937.45,0.1
1673121818335,16937.45,0.1
1673121819343,16937.5,0.0
1673121820445,16937.95,0.7
1673121821447,16938.35,0.1
1673121822454,16938.35,0.1
1673121823556,16938.35,0.1
1673121824562,16938.45,0.1
1673121825567,16938.55,0.1
1673121826670,16938.55,0.1
1673121827675,16938.55,0.1
1673121828679,16938.55,0.1
1673121829683,16938.55,0.1
1673121830688,16938.55,0.1
1673121831699,16938.55,0.1
1673121832705,16938.95,0.1
1673121833712,16938.95,0.1
1673121834720,16939.0,0.0
1673121835726,16939.05,0.1
1673121836731,16939.05,0.1
1673121837738,16939.05,0.1
1673121838740,16939.05,0.1
1673121839743,16939.05,0.1
1673121840747,16939.05,0.1
1673121841754,16939.05,0.1
1673121842756,16939.1,0.0
1673121843762,16939.15,0.1
1673121844763,16939.45,0.1
1673121845767,16939.45,0.1
1673121846771,16939.45,0.1
1673121847776,16939.55,0.1
1673121848782,16939.55,0.1
1673121849788,16939.55,0.1
1673121850793,16939.55,0.1
1673121851799,16939.55,0.1
1673121852802,16939.65,0.1
1673121853810,16939.7,0.0
1673121854815,16939.75,0.1
1673121855816,16939.75,0.1
1673121856819,16939.75,0.1
1673121857820,16939.75,0.1
1673121858824,16939.75,0.1
1673121859828,16939.75,0.1
1673121860831,16939.75,0.1
1673121861838,16939.85,0.1
1673121862840,16939.85,0.1
1673121863844,16939.95,0.1
1673121864850,16939.95,0.1
1673121865853,16939.95,0.1
1673121866859,16939.95,0.1
1673121867867,16939.95,0.1
1673121868967,16939.95,0.1
1673121869977,16939.95,0.1
1673121870984,16939.95,0.1
1673121871991,16940.0,0.0
1673121872997,16940.05,0.1
1673121874002,16940.15,0.1
1673121875004,16940.15,0.1
1673121876009,16940.15,0.1
1673121877013,16940.15,0.1
1673121878018,16940.15,0.1
1673121879021,16940.15,0.1
1673121880934,16940.2,0.0
1673121881937,16940.3,0.0
1673121883036,16940.35,0.1
1673121884039,16940.35,0.1
1673121885042,16940.35,0.1
1673121886045,16940.35,0.1
1673121887051,16940.35,0.1
1673121888058,16940.35,0.1
1673121889062,16940.35,0.1
1673121890070,16940.35,0.1
1673121891073,16940.4,0.0
1673121892081,16940.45,0.1
1673121893085,16940.45,0.1
1673121894190,16941.2,1.4
1673121895198,16941.95,0.1
1673121896203,16941.95,0.1
1673121897205,16941.95,0.1
1673121898212,16941.95,0.1
1673121899217,16941.95,0.1
1673121900221,16941.95,0.1
1673121901227,16941.95,0.1
1673121902233,16941.95,0.1
1673121903242,16941.95,0.1
1673121904250,16941.95,0.1
1673121905252,16941.95,0.1
